"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
1986,"all",12,50,29,29
1986,"unsexed",12,50,29,29
1995,"all",3,3,7,3
1995,"unsexed",3,3,7,3
1998,"all",10,12,24,12
1998,"unsexed",10,12,24,12
2001,"all",14,31,34,31
2001,"unsexed",14,31,34,31
2004,"all",11,20,26,20
2004,"unsexed",11,20,26,20
