"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
1986,"Enter Month","Enter Fleet",0,0,29,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,3,3,1,0,4,1,11,4,5,6,2,3,0
1995,"Enter Month","Enter Fleet",0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1998,"Enter Month","Enter Fleet",0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0
2001,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,4,2,3,3,1,1,0,3,1,2,0,1,0,0,0,0
2004,"Enter Month","Enter Fleet",0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0,5,1,2,0,1,0,1,0,0,0,0,0
