"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
1986,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,0,0,0,0,8.22337743081335,0,1.52753367676198,1.68293515620125,0,0,2.66415130748252,0,2.05615649139979,1.74482947975801,1.83355834612874,1.7444206034453,5.32239955301934,5.81487781580727,1.9124856958281,0,6.85471151929311,1.7444206034453,19.9098896788482,7.28787843968099,10.2144311373439,10.7398400475163,3.48884120689061,5.23326181033591,0
1989,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,3.45858563885541,1.45941963711582,2.90123539067957,1.37783796086122,0,4.32873003672495,1.44181575356375,1.37783796086122,7.50824201323216,0,1.41340963897074,0,4.48837451275673,8.98526553390006,3.90099821613841,7.27770170387744,1.64601156110161,4.06971962744942,4.06971962744942,1.64601156110161,5.42198680653491,9.51272238772423,12.9615346313348,7.57055152579626,0,3.1822882739703,0,0,0
1992,"Enter Month","Enter Fleet",0,0,7,0,0,0,0,0,0,0,0,0,7.09329947908698,6.69719968267487,0,0,0,7.09329947908698,0,0,7.09329947908698,7.09329947908698,0,0,6.69719968267487,17.0463677464051,0,34.0927354928102,7.09329947908698,0,0,0,0,0,0,0
1995,"Enter Month","Enter Fleet",0,0,6,0,0,0,0,10.8252147491813,0,0,0,10.5630026508187,0,14.1711722121852,0,0,0,0,0,0,0,26.2445573865989,0,26.2445573865989,0,0,0,11.951495614617,0,0,0,0,0,0,0,0
1998,"Enter Month","Enter Fleet",0,0,12,0,0,0,0,0,0,0,0,0,7.90574435098263,0,7.90574435098263,8.24928968894207,0,0,7.79546233088751,9.05703506616119,0,0,8.56899179287151,17.8512990884222,7.89902627444075,0,16.5668999926853,0,0,0,0,0,0,8.20050706362414,0,0
2001,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81575690598903,9.14539722524384,7.74086548008511,11.9593142838309,11.1883633889441,2.95287101265172,22.1356751627707,5.68511203050097,0,5.87205862297324,0,5.87205862297324,8.74542168418775,0,2.88495782278959,3.00214775705973,0,0,0,0
2004,"Enter Month","Enter Fleet",0,0,14,0,0,0,0,20.909918124782,0,0,0,0,0,0,0,0,0,0,0,0,7.3775833061128,7.07551453698568,13.7958235190838,0,15.7220945426473,7.07551453698568,14.1510290739714,0,6.81700782244573,0,7.07551453698568,0,0,0,0,0
